Sname,Jname,family,Jfamily,genus,Jgenus,Mizukoku
Chlorophthalmus agassizi,アオメエソ属の一種,Chlorophthalmidae,アオメエソ科,Chlorophthalmus,アオメエソ属,-
Chlorophthalmus albatrossis,アオメエソ,Chlorophthalmidae,アオメエソ科,Chlorophthalmus,アオメエソ属,-
Chlorophthalmus borealis,マルアオメエソ,Chlorophthalmidae,アオメエソ科,Chlorophthalmus,アオメエソ属,-
Chlorophthalmus nigromarginatus,ツマグロアオメエソ,Chlorophthalmidae,アオメエソ科,Chlorophthalmus,アオメエソ属,-
Chlorophthalmus pectoralis,ヒレナガアオメエソ,Chlorophthalmidae,アオメエソ科,Chlorophthalmus,アオメエソ属,-
Chlorophthalmus sp.1,ヒレグロアオメエソ,Chlorophthalmidae,アオメエソ科,Chlorophthalmus,アオメエソ属,-
Chlorophthalmus sp.2,バケアオメエソ,Chlorophthalmidae,アオメエソ科,Chlorophthalmus,アオメエソ属,-
Chlorurus bleekeri,オカメブダイ,Scaridae,ブダイ科,Chlorurus,ハゲブダイ属,-
Chlorurus bowersi,オオモンハゲブダイ,Scaridae,ブダイ科,Chlorurus,ハゲブダイ属,-
Chlorurus frontalis,オニハゲブダイ,Scaridae,ブダイ科,Chlorurus,ハゲブダイ属,-
Chlorurus japanensis,シジュウカラ,Scaridae,ブダイ科,Chlorurus,ハゲブダイ属,-
Chlorurus microrhinos,ナンヨウブダイ,Scaridae,ブダイ科,Chlorurus,ハゲブダイ属,-
Chlorurus oedema,コブブダイ,Scaridae,ブダイ科,Chlorurus,ハゲブダイ属,-
Chlorurus spilurus,ハゲブダイ,Scaridae,ブダイ科,Chlorurus,ハゲブダイ属,-
Choerodon anchorago,クサビベラ,Labridae,ベラ科,Choerodon,イラ属,-
Choerodon azurio,イラ,Labridae,ベラ科,Choerodon,イラ属,-
Choerodon fasciatus,シチセンベラ,Labridae,ベラ科,Choerodon,イラ属,-
Choerodon japonicus,イラモドキ,Labridae,ベラ科,Choerodon,イラ属,-
Choerodon jordani,クラカケベラ,Labridae,ベラ科,Choerodon,イラ属,-
Choerodon margaritiferus,ユウモドロベラ,Labridae,ベラ科,Choerodon,イラ属,-
Choerodon robustus,ミヤコベラ,Labridae,ベラ科,Choerodon,イラ属,-
Choerodon shoenleinii,シロクラベラ,Labridae,ベラ科,Choerodon,イラ属,-
Choeroichthys brachysoma,ハシナガチゴヨウジ,-,-,Choeroichthys,,-
Choeroichthys sculptus,チゴヨウジ,-,-,Choeroichthys,,-
Chrionema chlorotaenia,オハグロイバラトラギス,-,-,Chrionema,イバラトラギス属,-
Chrionema chryseres,ナンヨウイバラトラギス,-,-,Chrionema,イバラトラギス属,-
Chrionema furunoi,イバラトラギス,-,-,Chrionema,イバラトラギス属,-
Chromileptes altivelis,サラサハタ,-,-,Chromileptes,,-
Chromis acares,コビトスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis agilis,カレハスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis albicauda,コガネスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis albomaculata,シロボシスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis alleni,オナガスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis alpha,アルファスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis amboinensis,アンボンスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis anadema,カンザシスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis analis,タンポポスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis atripectoralis,アオバスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis atripes,ヒレグロスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis chrysura,アマミスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis delta,デルタスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis earina,ヒスイスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis elerae,タイワンスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis fumea,マツバスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis katoi,ナノハナスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis lepidolepis,ササスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis leucura,フカミスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis margaritifera,シコクスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis mirationis,トウカイスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis notata,スズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,29690
Chromis notata notata,スズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,29690
Chromis okamurai,オビトウカイスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis onumai,リュウセイスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis ovatiformes,マルスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis retrofasciata,クロオビスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis ternatensis,カブラヤスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis tingting,ゲッコウスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis vanderbilti,ヒメスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis viridis,デバスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis weberi,タカサゴスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis xanthochira,タソガレスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis xanthura,モンスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis xouthos,ヒマワリスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chromis yamakawai,キホシスズメダイ,Pomacentridae,スズメダイ科,Chromis,スズメダイ属,-
Chrysiptera biocellata,スジブチスズメダイ,Pomacentridae,スズメダイ科,Chrysiptera,ルリスズメダイ属,29698
Chrysiptera caeruleolineata,アオスジスズメダイ,Pomacentridae,スズメダイ科,Chrysiptera,ルリスズメダイ属,-
Chrysiptera cyanea,ルリスズメダイ,Pomacentridae,スズメダイ科,Chrysiptera,ルリスズメダイ属,29697
Chrysiptera glauca,ネズスズメダイ,Pomacentridae,スズメダイ科,Chrysiptera,ルリスズメダイ属,29699
Chrysiptera leucopoma,ミヤコキセンスズメダイ,Pomacentridae,スズメダイ科,Chrysiptera,ルリスズメダイ属,-
Chrysiptera parasema,シリキルリスズメダイ,Pomacentridae,スズメダイ科,Chrysiptera,ルリスズメダイ属,-
Chrysiptera rex,レモンスズメダイ,Pomacentridae,スズメダイ科,Chrysiptera,ルリスズメダイ属,-
Chrysiptera starcki,セナキルリスズメダイ,Pomacentridae,スズメダイ科,Chrysiptera,ルリスズメダイ属,-
Chrysiptera tricincta,ミスジスズメダイ,Pomacentridae,スズメダイ科,Chrysiptera,ルリスズメダイ属,-
Chrysiptera unimaculata,イチモンスズメダイ,Pomacentridae,スズメダイ科,Chrysiptera,ルリスズメダイ属,29696
Chrysochir aureus,Chrysochir属の一種,Sciaenidae,ニベ科,Chrysochir,Chrysochir属,-
Chuanchia labiosa,Chuanchia属の一種,Cyprinidae,コイ科,Chuanchia,Chuanchia属,-
Cichlasoma dimerus,シクラソマ・ディメルス,Cichlidae,カワスズメ科,Cichlasoma,キクラソマ属,-
Cirrhigaleus barbifer,ヒゲツノザメ,Squalidae,ツノザメ科,Cirrhigaleus,,-
Cirrhilabrus cyanopleura,クロヘリイトヒキベラ,Labridae,ベラ科,Cirrhilabrus,イトヒキベラ属,-
Cirrhilabrus exquisitus,ニシキイトヒキベラ,Labridae,ベラ科,Cirrhilabrus,イトヒキベラ属,-
Cirrhilabrus isosceles,ハリオイトヒキベラ,Labridae,ベラ科,Cirrhilabrus,イトヒキベラ属,-
Cirrhilabrus katherinae,ゴシキイトヒキベラ,Labridae,ベラ科,Cirrhilabrus,イトヒキベラ属,-
Cirrhilabrus katoi,クレナイイトヒキベラ,Labridae,ベラ科,Cirrhilabrus,イトヒキベラ属,-
Cirrhilabrus lanceolatus,ヤリイトヒキベラ,Labridae,ベラ科,Cirrhilabrus,イトヒキベラ属,-
Cirrhilabrus lunatus,ツキノワイトヒキベラ,Labridae,ベラ科,Cirrhilabrus,イトヒキベラ属,-
Cirrhilabrus melanomarginatus,トモシビイトヒキベラ,Labridae,ベラ科,Cirrhilabrus,イトヒキベラ属,-
Cirrhilabrus rubrimarginatus,ベニヒレイトヒキベラ,Labridae,ベラ科,Cirrhilabrus,イトヒキベラ属,-
Cirrhilabrus temminckii,イトヒキベラ,Labridae,ベラ科,Cirrhilabrus,イトヒキベラ属,-
Cirrhinus sp.,ケンヒー属の一種,Cyprinidae,コイ科,Cirrhinus,ケンヒー属,-
Cirrhitichthys aprinus,ミナミゴンベ,Cirrhitidae,ゴンベ科,Cirrhitichthys,オキゴンベ属,-
Cirrhitichthys aureus,オキゴンベ,Cirrhitidae,ゴンベ科,Cirrhitichthys,オキゴンベ属,-
Cirrhitichthys falco,サラサゴンベ,Cirrhitidae,ゴンベ科,Cirrhitichthys,オキゴンベ属,-
Cirrhitichthys oxycephalus,ヒメゴンベ,Cirrhitidae,ゴンベ科,Cirrhitichthys,オキゴンベ属,-
Cirrhitops hubbardi,スミツキゴンベ,Cirrhitidae,ゴンベ科,Cirrhitops,スミツキゴンベ属,-
Cirrhitus pinnulatus pinnulatus,イソゴンベ,Cirrhitidae,ゴンベ科,Cirrhitus,イソゴンベ属,-
Cirrhoscyllium expolitum,ヒゲザメ,Parascyllidae,クラカケザメ科,Cirrhoscyllium,,-
Cirrhoscyllium japonicum,クラカケザメ,Parascyllidae,クラカケザメ科,Cirrhoscyllium,,-
Cirripectes castaneus,タテガミカエルウオ,Blenniidae,イソギンポ科,Cirripectes,タテガミカエルウオ属,-
Cirripectes filamentosus,オボロゲタテガミカエルウオ,Blenniidae,イソギンポ科,Cirripectes,タテガミカエルウオ属,-
Cirripectes imitator,アミメミノカエルウオ,Blenniidae,イソギンポ科,Cirripectes,タテガミカエルウオ属,-
Cirripectes kuwamurai,スジタテガミカエルウオ,Blenniidae,イソギンポ科,Cirripectes,タテガミカエルウオ属,-
Cirripectes polyzona,ミノカエルウオ,Blenniidae,イソギンポ科,Cirripectes,タテガミカエルウオ属,-
Cirripectes quagga,マーカスミノカエルウオ,Blenniidae,イソギンポ科,Cirripectes,タテガミカエルウオ属,-
Cirripectes stigmaticus,イナズマタテガミカエルウオ,Blenniidae,イソギンポ科,Cirripectes,タテガミカエルウオ属,-
Cirripectes variolosus,ベニツケタテガミカエルウオ,Blenniidae,イソギンポ科,Cirripectes,タテガミカエルウオ属,-
Cirrisalarias bunares,シシマイギンポ,-,-,Cirrisalarias,Cirrisalarias属,-
Citharoides macrolepidotus,コケビラメ,Citharidae,コケビラメ科,Citharoides,,-
Clarias fuscus,ヒレナマズ,Clariidae,ヒレナマズ科,Clarias,ヒレナマズ属,29318
Clarias sp.,ヒレナマズ属の一種,Clariidae,ヒレナマズ科,Clarias,ヒレナマズ属,-
Clariger chionomaculatus,アワユキセジロハゼ,Gobiidae,ハゼ科,Clariger,セジロハゼ属,-
Clariger cosmurus,セジロハゼ,Gobiidae,ハゼ科,Clariger,セジロハゼ属,29851
Clariger exilis,シモフリセジロハゼ,Gobiidae,ハゼ科,Clariger,セジロハゼ属,-
Clariger papillosus,ヒゲセジロハゼ,Gobiidae,ハゼ科,Clariger,セジロハゼ属,-
Clariger sirahamaensis,セグロハゼ,Gobiidae,ハゼ科,Clariger,セジロハゼ属,-
Clariger sp.,セジロハゼ属の一種,Gobiidae,ハゼ科,Clariger,セジロハゼ属,-
Clariger sp.SHIROHIGE SEJIROHAZE,シロヒゲセジロハゼ,Gobiidae,ハゼ科,Clariger,セジロハゼ属,-
Clariger sp.SHIROHIGE-SEJIROHAZE,シロヒゲセジロハゼ,Gobiidae,ハゼ科,Clariger,セジロハゼ属,-
Clariger sp.'shirohige-sejiro-haze',シロヒゲセジロハゼ,Gobiidae,ハゼ科,Clariger,セジロハゼ属,-
Cleisthenes herzensteini,ソウハチ,Pleuronectidae,カレイ科,Cleisthenes,,-
Cleisthenes pinetorum,ソウハチ,Pleuronectidae,カレイ科,Cleisthenes,,-
Clidoderma asperrimum,サメガレイ,Pleuronectidae,カレイ科,Clidoderma,,-
Clupanodon thrissa,チャイニーズギザードシャド,Clupeidae,ニシン科,Clupanodon,,-
Clupea harengus,タイセイヨウニシン,Clupeidae,ニシン科,Clupea,ニシン属,-
Clupea pallasii,ニシン,Clupeidae,ニシン科,Clupea,ニシン属,29167
Clupea pallasii pallasii,ニシン,Clupeidae,ニシン科,Clupea,ニシン属,29167
Cobitis bilineata,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis biwae,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis choii,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis delicata,アジメドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29294
Cobitis elongata,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis elongatoides,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis hankugensis,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis hugowolfeldi,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis kaibarai,アリアケスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29285
Cobitis laterimaculata,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis lebedevi,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis lutheri,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis macrostigma,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis magnostriata,オオガタスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29286
Cobitis matsubarae,ヤマトシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29288
Cobitis matsubarai,ヤマトシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29288
Cobitis melanoleuca,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis melanoleuca granoei,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis minamorii minamorii,サンヨウコガタスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29276
Cobitis minamorii oumiensis,ビワコガタスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29278
Cobitis minamorii saninensis,サンインコガタスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29280
Cobitis minamorii tokaiensis,トウカイコガタスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29277
Cobitis minamorii yodoensis,ヨドコガタスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29279
Cobitis nalbanti,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis sakahoko,オオヨドシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29290
Cobitis shikokuensis,ヒナイシドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29292
Cobitis simplicispina,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis sinensis,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis sp.,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis sp. BIWAE type A,オオシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29271
Cobitis sp. BIWAE type B,ニシシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29272
Cobitis sp. BIWAE type C,ヒガシシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29273
Cobitis sp. BIWAE type D,トサシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29274
Cobitis sp. BIWAE typeA,オオシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29271
Cobitis sp. BIWAE typeB,ニシシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29272
Cobitis sp. BIWAE typeC,ヒガシシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29273
Cobitis sp. BIWAE typeD,トサシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29274
Cobitis sp.BIWAE typeA,オオシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29271
Cobitis sp.BIWAE typeB,ニシシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29272
Cobitis sp.BIWAE typeC,ヒガシシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29273
Cobitis sp.BIWAE typeD,トサシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29274
Cobitis striata,ナミスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis striata fuchigamii,オンガスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29282
Cobitis striata hakataensis,ハカタスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29283
Cobitis striata striata,チュウガタスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29281
Cobitis taenia,タイリクシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Cobitis takatsuensis,イシドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29291
Cobitis takenoi,タンゴスジシマドジョウ,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,29287
Cobitis tetralineata,シマドジョウ属の一種,Cobitidae,ドジョウ科,Cobitis,シマドジョウ属,-
Coccorella atlantica,ヤリエソ,Evermannellidae,ヤリエソ科,Coccorella,ヤリエソ属,-
Coccorella atrata,ミナミヤリエソ,Evermannellidae,ヤリエソ科,Coccorella,ヤリエソ属,-
Cochlefelis danielsi,Cochlefelis属の一種,-,-,Cochlefelis,Cochlefelis属,-
Cociella crocodila,イネゴチ,Platycephalidae,コチ科,Cociella,イネゴチ属,29506
Cociella punctata,ミナミイネゴチ,Platycephalidae,コチ科,Cociella,イネゴチ属,29507
Cociella sp.,イネゴチ属の一種,Platycephalidae,コチ科,Cociella,イネゴチ属,-
Cocotropus izuensis,イズオコゼ,Aploactinidae,イボオコゼ科,Cocotropus,,-
Cocotropus keramaensis,ケラマオコゼ,Aploactinidae,イボオコゼ科,Cocotropus,,-
Cocotropus larvatus,ヒョットコオコゼ,Aploactinidae,イボオコゼ科,Cocotropus,,-
Cocotropus masudai,マスダオコゼ,Aploactinidae,イボオコゼ科,Cocotropus,,-
Cocotropus possi,ヒゲモジャオコゼ,Aploactinidae,イボオコゼ科,Cocotropus,,-
Coelonotus argulus,ホシイッセンヨウジ,-,-,Coelonotus,,-
Coelonotus leiaspis,イッセンヨウジ,-,-,Coelonotus,,29411
Coelophrys bradburyae,ワカタカユメソコグツ,Ogcocephalidae,アカグツ科,Coelophrys,,-
Coelophrys brevicaudata,ユメソコグツ,Ogcocephalidae,アカグツ科,Coelophrys,,-
Coelophrys micropa,トゲユメソコグツ,Ogcocephalidae,アカグツ科,Coelophrys,,-
Coelorinchus anatirostris,ネズミヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus asteroides,ホシヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus brevirostris,ツマリヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus cingulatus,クラカケソコダラ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus divergens,ハナレヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus formosanus,タイワンソコダラ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus fuscigulus,シマソコダラ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus gilberti,オニヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus hexafasciatus,ムスジソコダラ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus hubbsi,モヨウヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus japonicus,トウジン,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus jordani,キュウシュウヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus kamoharai,イチモンジヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus kishinouyei,ムグラヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus longissimus,トンガリヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus macrochir,テナガダラ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus matsubarai,マトウヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus multispinulosus,ヤリヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus parallelus,ソロイヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus productus,テングヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus sheni,トラヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus smithi,キシュウヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus sparsilepis,マバラヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coelorinchus tokiensis,ミヤコヒゲ,Macrouridae,ソコダラ科,Coelorinchus,,-
Coilia nasus,エツ,Engraulidae,カタクチイワシ科,Coilia,エツ属,29172
Coilia sp.,エツ属の一種,Engraulidae,カタクチイワシ科,Coilia,エツ属,-
Collichthys lucidus,カンダリ,Sciaenidae,ニベ科,Collichthys,カンダリ属,29639
Collichthys niveatus,メブトカンダリ,Sciaenidae,ニベ科,Collichthys,カンダリ属,-
Coloconger japonicus,バケフサアナゴ,Colocongridae,フサアナゴ科,Coloconger,,-
Coloconger raniceps,フサアナゴ,Colocongridae,フサアナゴ科,Coloconger,,-
Cololabis saira,サンマ,Scomberesocidae,サンマ科,Cololabis,サンマ属,29472
Comephorus baikalensis,Comephorus属の一種,Comephoridae,コメーポルス科,Comephorus,Comephorus属,-
Comephorus dybowskii,Comephorus属の一種,Comephoridae,コメーポルス科,Comephorus,Comephorus属,-
Conger cinereus,キリアナゴ,Congridae,アナゴ科,Conger,クロアナゴ属,29153
Conger cinereus,クロアナゴ属の一種,Congridae,アナゴ科,Conger,クロアナゴ属,-
Conger erebennus,ダイナンアナゴ,Congridae,アナゴ科,Conger,クロアナゴ属,-
Conger japonicus,クロアナゴ,Congridae,アナゴ科,Conger,クロアナゴ属,29154
Conger jordani,クロアナゴ,Congridae,アナゴ科,Conger,クロアナゴ属,29154
Conger myriaster,マアナゴ,Congridae,アナゴ科,Conger,クロアナゴ属,29152
Conger oceanicus,アメリカンコンガー,Congridae,アナゴ科,Conger,クロアナゴ属,-
Conger sp.,クロアナゴ属の一種,Congridae,アナゴ科,Conger,クロアナゴ属,-
Congriscus megastomus,オキアナゴ,Congridae,アナゴ科,Congriscus,オキアナゴ属,-
Congrogadus subducens,センニンガジ,Pseudochromidae,メギス科,Congrogadus,センニンガジ属,-
Conidens laticephalus,アンコウウバウオ,Gobiesocidae,ウバウオ科,Conidens,,-
Conocara fiolenti,マルクチヤジリイワシ,Alepocephalidae,セキトリイワシ科,Conocara,,-
Conocara kreffti,ヤジリイワシ,Alepocephalidae,セキトリイワシ科,Conocara,,-
Cookeolus japonicus,チカメキントキ,Priacanthidae,キントキダイ科,Cookeolus,チカメキントキ属,-
Coptodon zillii,ジルティラピア,Cichlidae,カワスズメ科,Coptodon,,29672
Coptostomabarbus wittei,Coptostomabarbus属の一種,Cyprinidae,コイ科,Coptostomabarbus,Coptostomabarbus属,-
Coradion altivelis,タキゲンロクダイ,Chaetodontidae,チョウチョウウオ科,Coradion,タキゲンロクダイ属,-
Coradion chrysozonus,キスジゲンロクダイ,Chaetodontidae,チョウチョウウオ科,Coradion,タキゲンロクダイ属,-
Coregonus autumnalis,コレゴヌス属の一種,Salmonidae,サケ科,Coregonus,コレゴヌス属,-
Coregonus clupeaformis,レイクホワイトフィッシュ,Salmonidae,サケ科,Coregonus,コレゴヌス属,-
Coregonus lavaretus,シナノユキマス,Salmonidae,サケ科,Coregonus,コレゴヌス属,29338
Coregonus muksun,コレゴヌス属の一種,Salmonidae,サケ科,Coregonus,コレゴヌス属,-
Coregonus nasus,コレゴヌス属の一種,Salmonidae,サケ科,Coregonus,コレゴヌス属,-
Coregonus oxyrinchus,コレゴヌス属の一種,Salmonidae,サケ科,Coregonus,コレゴヌス属,-
Coregonus peled,コレゴヌス属の一種,Salmonidae,サケ科,Coregonus,コレゴヌス属,-
Coregonus sp.,コレゴヌス属の一種,Salmonidae,サケ科,Coregonus,コレゴヌス属,-
Coregonus ussuriensis,コレゴヌス属の一種,Salmonidae,サケ科,Coregonus,コレゴヌス属,-
Coreoleuciscus splendidus,ヤガタムギツク,Cyprinidae,コイ科,Coreoleuciscus,ヤガタムギツク属,-
Coreoperca herzi,コウライオヤニラミ,Sinipercidae,ケツギョ科,Coreoperca,オヤニラミ属,-
Coreoperca kawamebari,オヤニラミ,Sinipercidae,ケツギョ科,Coreoperca,オヤニラミ属,29520
Coreoperca whiteheadi,ナンシオヤニラミ,Sinipercidae,ケツギョ科,Coreoperca,オヤニラミ属,-
Coris aygula,カンムリベラ,Labridae,ベラ科,Coris,カンムリベラ属,-
Coris batuensis,シチセンムスメベラ,Labridae,ベラ科,Coris,カンムリベラ属,-
Coris dorsomacula,スジベラ,Labridae,ベラ科,Coris,カンムリベラ属,-
Coris gaimard,ツユベラ,Labridae,ベラ科,Coris,カンムリベラ属,-
Coris musume,ムスメベラ,Labridae,ベラ科,Coris,カンムリベラ属,-
Coris pictoides,ブラックストライプコリス,Labridae,ベラ科,Coris,カンムリベラ属,-
Coryphaena equiselis,エビスシイラ,Coryphaenidae,シイラ科,Coryphaena,シイラ属,-
Coryphaena hippurus,シイラ,Coryphaenidae,シイラ科,Coryphaena,シイラ属,-
Coryphaena sp.,シイラ属の一種,Coryphaenidae,シイラ科,Coryphaena,シイラ属,-
Coryphaenoides acrolepis,イバラヒゲ,Macrouridae,ソコダラ科,Coryphaenoides,ホカケダラ属,-
Coryphaenoides altipinnis,ホカケダラ,Macrouridae,ソコダラ科,Coryphaenoides,ホカケダラ属,-
Coryphaenoides armatus,ヨロイダラ,Macrouridae,ソコダラ科,Coryphaenoides,ホカケダラ属,-
